conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,scopeNote,description
http://data.europa.eu/esco/skill/03a0ab28-ce99-4e14-baf8-a66c55da28f8,skill/competence,cross-sector,carry out event management,complete event management;undertake event management;make event management;oversee event management,,,Plan and execute all the technical and logistical aspects required for an event to be successful.
http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,skill/competence,cross-sector,create solutions to problems,devise solutions to problems;create solution to problems;formulate solutions to problems;conceive solutions to problems;create solutions;come up with solutions to problems;creating solutions to problems,,,"Solve problems which arise in planning, prioritising, organising, directing/facilitating action and evaluating performance. Use systematic processes of collecting, analysing, and synthesising information to evaluate current practice and generate new understandings about practice."
http://data.europa.eu/esco/skill/03f922b0-d518-457d-8f2c-80252a714be1,knowledge,cross-sector,criminology,investigation of law breaking behaviour;investigation of criminal behaviour;research into criminal behaviour;study of criminal behaviour;research into law breaking behaviour;study of law breaking behaviour,,,"The study of criminal behaviour, such as its causes and nature, its consequences, and control and prevention methods."
http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,knowledge,sector-specific,information structure,data structuring methods;types of data infrastructure;data infrastructure,,,"The type of infrastructure which defines the format of data: semi-structured, unstructured and structured."
http://data.europa.eu/esco/skill/049c8caf-dd12-45fc-9bfa-b64051f32a19,skill/competence,cross-sector,respond to changing situations in health care,cope with changing situations in health care;respond to changing healthcare situations;react to changing situations in healthcare;react to changing situations in health care;respond to changing health care situations;respond to changing situations in health-care;cope with changing situations in healthcare,,,Cope with pressure and respond appropriately and in time to unexpected and rapidly changing situations in healthcare.
http://data.europa.eu/esco/skill/04dcfb3b-d6ac-4044-a35f-a633d3816c28,skill/competence,cross-sector,advise on bankruptcy proceedings,offer suggestions on bankruptcy proceedings;give recommendations on bankruptcy proceedings;advise on proceedings on bankruptcy;counsel on bankruptcy proceedings;advise on bankruptcy proceeding;advising on bankruptcy proceedings,,,"Guide and advise clients on the formalities, procedures and the actions that can ameliorate the losses in case of bankruptcy."
http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,knowledge,sector-specific,SAS language,SAS coding;SAS algorithms;SAS testing;SAS algorithm;SAS programming language;SAS principles for software development;SAS techniques for software development,,,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in SAS language."
http://data.europa.eu/esco/skill/04fe962b-4017-4eb7-9139-7d69b6922bc9,skill/competence,sector-specific,use an application-specific interface,use an interface specific to the application;using an interface specific to the application;application-specific interface using;operate an interface specific to the application;using an application-specific interface;application-specific interface operating;operating an interface specific to the application;operating an application-specific interface;operate an application-specific interface,,,Understand and use interfaces particular to an application or use case.
http://data.europa.eu/esco/skill/054f26ab-cfdc-4077-883c-1c4c9e9b310a,skill/competence,sector-specific,define firewall rules,specify access control policies;set firewall rules,,,Specify rules to govern a set of components aiming to limit access between groups of networks or a particular network and the internet.
http://data.europa.eu/esco/skill/0550431f-9c8b-4204-9c45-59bc5feacf06,knowledge,cross-sector,continuous improvement philosophies,a continuous improvement philosophy;continuous improvement policies;continuous improvement processes;continuous improvement systems;continuous improvement philosophy;continuous improvement strategies,,,"Underlying ideas of quality management systems. Implementation process of lean manufacturing, Kanban, Kaizen, Total Quality Management (TQM) and other continuous improvement systems."
http://data.europa.eu/esco/skill/05e5e14f-ffa6-4106-b311-c6335ccc2bd2,knowledge,cross-sector,solar energy,solar thermal energy;energy from sunlight;STE;solar technology;renewable solar;solar power;photovoltaic energy;energy from the sun;sun energy,,,"The energy which originates from light and heat from the sun, and which can be harnessed and used as a renewable source of energy using different technologies, such as photovoltaics (PV) for electricity production and solar thermal energy (STE) for thermal energy generation."
http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2,skill/competence,cross-sector,perform online data analysis,implement online data analysis;undertake online data analysis;performing online data analysis;perform an online data analysis;performing an online data analysis;complete online data analysis,,,"Analyse online experiences and online data for purposes of understanding user behaviour, triggers of online attention, and other factors that could optimise webpage development and exposure."
http://data.europa.eu/esco/skill/062ec888-7fd2-4b1e-860e-4cdcc9503ab3,skill/competence,sector-specific,manage land resources permits,manage permits for land resources;controlling land resources permits;control land resources permits;land resources permit managing;land resources permits controlling;land resources permit controlling;land resources permits managing;controlling permits for land resources;control permits for land resources,,,Study the potential impact of land resource utilisation on water and aquatic habitats. Make recommendations as to the approval or rejection of permits for those purposes.
http://data.europa.eu/esco/skill/06358891-8424-43c5-891e-d40f226bef40,skill/competence,sector-specific,manage IT security compliances,oversee IT security compliance;ensure compliance with information security regulations,,,"Guide application and fulfilment of relevant industry standards, best practices and legal requirements for information security."
http://data.europa.eu/esco/skill/06f33d6a-f7a7-4a2b-baa5-8c3c53bd1a9c,knowledge,sector-specific,keywords in digital content,metadata tagging,,,The digital tools to conduct keyword research. The information retrieval systems identify the content of a document guided by keywords and metadata.
http://data.europa.eu/esco/skill/06f46a6e-62d3-4ca0-bedb-cb4c021c14ee,knowledge,sector-specific,legal studies,the study of law;law studies,,,"The study of law; the situations and causes that elicit responses from institutions in the form of laws and regulations. Some areas of law are civil, business, criminal, and property law."
http://data.europa.eu/esco/skill/071233c4-ad2b-4f50-b79f-768d2231163e,knowledge,sector-specific,domain name service,DNS;DNS server,BIND,,Naming database which maps internet domain names to Internet Protocol (IP) addresses. The Domain Name System allows internet users to utilise names such as website titles instead of remembering numeric IP addresses used by computers to locate a concrete website.
http://data.europa.eu/esco/skill/0737ad0a-75ac-4696-988b-565820577ac0,skill/competence,sector-specific,use experience map,examine touchpoints with a brand;determine the duration of a touchpoint;examine touchpoints with a service;determine the frequency of a touchpoint;examine touchpoints with a product,,,"Examine all the interactions and touchpoints people have with a product, brand or service. Determine key variables such as duration and frequency of every touchpoint."
http://data.europa.eu/esco/skill/075c411b-c5cd-4238-be12-d6b284a4130c,skill/competence,sector-specific,identify information needs of young people,assess information needs of young people;identify educational needs of young people;assess educational needs of young people;recognise information needs of young people;recognise educational needs of young people,,,Inquire and identify the information needs of young people and adapt services and approach towards their individual or collective needs.
http://data.europa.eu/esco/skill/075c68d7-efe4-4466-be4a-9acc726504df,knowledge,cross-sector,mergers and acquisitions,transferring ownership or combining companies;acquisitions and mergers;transferring ownership or combining businesses,,,"The process of joining together separate companies and relatively equal in size, and the purchase of a smaller company by a bigger one. The financial deals, the legal implications, and the consolidation of financial records and statements at the end of the fiscal year."
http://data.europa.eu/esco/skill/0760bfac-9a03-427a-ad84-ccd33a2f2ae8,knowledge,cross-sector,mathematical modelling,mathematical computation;mathematical representation;mathematical simulation,,,"The process of establishing a mathematical representation problem, such as equations, of a real-word to provide insights, discover new features about the problematic scenario, better understand the original problem or to make predictions about it."
http://data.europa.eu/esco/skill/0764b28d-04ee-4e80-bf58-b737f02a63e0,knowledge,occupation-specific,captioning software,captioning program;caption software;captioning plugin,,,"The various software to create captions and subtitles in a file that is merged with the actual footage, such as Telestream and MovieCaptioners."
http://data.europa.eu/esco/skill/078098e1-01f7-4654-9ddd-016f4063b54d,skill/competence,cross-sector,cooperate with education professionals,collaborate with training professionals;participate with training professionals;work with training professionals;participate with education professionals;work with education professionals;collaborate with education professionals,,,"Communicate with teachers or other professionals working in education in order to identify needs and areas of improvement in education systems, and to establish a collaborative relationship."
http://data.europa.eu/esco/skill/07884056-a07a-40b7-bba3-1ceed61f529c,knowledge,sector-specific,blockchain signature schemes,signature schemes for blockchain;digital signature schemes,,,"Essential digital signature schemes include the RSA scheme, the El-Gamal scheme, Hash functions, Birthday Attacks, the Digital Signature Standard."
http://data.europa.eu/esco/skill/07889c08-7220-47c8-96f7-6068fbea00dc,skill/competence,sector-specific,normalise data,prepare data;normalize data;perform data pre-processing,,,"Reduce data to their accurate core form (normal forms) in order to achieve such results as minimisation of dependency, elimination of redundancy, increase of consistency."
http://data.europa.eu/esco/skill/07d1dd29-4954-48f0-b807-6df53a7bceb2,knowledge,cross-sector,theories of personality,personality theories;theoretical concepts of personality;personality theory;theory of personality,,,"Theoretical conceptions of personality, such as psychodynamic theory, humanistic theory or behaviorism."
