conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,scopeNote,description
http://data.europa.eu/esco/occupation/89330b57-6a30-40e1-b623-50f47a4b0c34,2411,grants management officer,grants officer;proposals manager,,"Excludes <a resource=""http://data.europa.eu/esco/occupation/bb4ca5c1-879d-44e8-840d-24f320206bff"" typeOf=""http://data.europa.eu/esco/model#Occupation"" href=""http://data.europa.eu/esco/occupation/bb4ca5c1-879d-44e8-840d-24f320206bff""><span property=""http://www.w3.org/2000/01/rdf-schema#label"" xml:lang=""en"">grant administrators</span></a>.","Grants management officers work professionally in the administration and management of grant funds. They look at grant applications from individuals, charities, community groups or university research departments and decide whether to award funding given out by charitable trusts, government or public bodies or not. However, sometimes they may refer the grant application to a senior officer or committee."
http://data.europa.eu/esco/occupation/89b85c45-ddc7-4fe1-be5a-d3db2be11f3b,2434,ICT account manager,IT service delivery manager;ICT key account manager;ICT account managers;IT account manager;IT key account manager,,,"ICT account managers build business relationships with customers to facilitate the sale of hardware, software, telecommunications or ICT services. They also identify opportunities and manage sourcing and delivery of products to customers. They achieve sales targets and maintain profitability."
http://data.europa.eu/esco/occupation/8bd74371-1818-47d5-a253-d703c51c5f26,2642,copy editor,editorial assistant;language editor;senior copy editor;copy-editor,,,"Copy editors ascertain that a text is agreeable to read. They ensure that a text adheres to the conventions of grammar and spelling. Copy editors read and revise materials for books, journals, magazines and other media."
http://data.europa.eu/esco/occupation/8bf76ba6-e661-4574-9887-4f2cb943835a,2422,political affairs officer,political consultant;political aide;political advisor;political campaign officer;campaigner;lobbyist;advocacy and political affairs officer;political-military affairs officer;senior political affairs officer;prime minister adviser;president adviser,,,"Political affairs officers analyse developments in foreign politics and other policy matters, monitor conflicts and consult on mediation measures, as well as other developmental strategies. They write reports to ensure communication with governmental bodies, and develop policies and implementation methods."
http://data.europa.eu/esco/occupation/8c57af09-719c-42b3-be40-6ed4946236cc,2521,database administrator,data base administrators;database administrators;data administrator;DBA;database configurator;data base administrator;data manager;database manager,,Includes people performing managerial activities.,"Database administrators test, implement and administer computer databases. They use their expertise in database management systems to plan, coordinate and implement security measures to safeguard computer databases. They also use scripts and configuration files to tailor a database to users' needs."
http://data.europa.eu/esco/occupation/8cb59bc4-1f39-477e-beea-effed12d186c,2641,technical communicator,technical writer;documentation specialist;scientific communicator;technical documentation author;technical documentation specialist;technical editor;scientific and technical communicator;user experience designer;usability expert;advanced technical communicator;senior technical communicator;technical content developer;technical illustrator;information architect;API writer;technical author;e-learning author;tech communicator;technical communicators,,,"Technical communicators prepare clear, concise and professional communication from product developers to users of the products such as online help, user manuals, white papers, specifications and industrial videos. For this, they analyse products, legal requirements, markets, customers and users. They develop information and media concepts, standards, structures and software tool support. They plan the content creation and media production processes, develop written, graphical, video or other contents, generate media output, release their information products and receive feedback from the users."
http://data.europa.eu/esco/occupation/8d586ee9-0ab1-4155-a3b0-2ca786c8e48c,2413,financial analyst,economic analyst;credit analyst;financial markets report writer;financial markets analyst;treasury analyst;financial markets specialist;banking analyst;stock market analyst;m&a analyst;company analyst;structured finance analyst;financial markets researcher;financial researcher;capital markets analyst;financial markets forecaster,,,"Financial analysts conduct economic research and elicit valuable analyses on financial matters such as profitability, liquidity, solvency, and asset management. They provide recommendations on financial matters for decision-making processes. Financial analysts work in both the public and the private sector."
http://data.europa.eu/esco/occupation/8d9ec84d-cf2d-4179-87bc-335cda54a427,2521,database designer,database designers;data architect;secure could-edge computing system architect;data base designer;data model designer;data base designers;database architect;database design engineer,,"Excludes people performing managerial, programming, coding, and setting of a system's activities.","Database designers specify the database's logical structure, processes, and information flows. They design data models and databases to serve data acquisition."
http://data.europa.eu/esco/occupation/903dc1bf-2da8-477d-83b2-687d360cf1da,2432,intercultural communication consultant,intercultural consultant;intercultural mediator;intercultural communication expert;intercultural communication adviser;intercultural communications consultant;intercultural communication specialist,,,"Intercultural communication consultants specialise in social interaction between parties of different cultures, advise organisations on international interactions in order to optimise their performance, and facilitiate cooperation and positive interaction with organisations and individuals from other cultures."
http://data.europa.eu/esco/occupation/90569478-805c-4d14-a1ba-e9c9c4ac2818,2635,victim support officer,victims caseworker;domestic abuse support worker;victim support social worker;relief worker;victim care officer;victim service manager;support coordinator;senior victims support officer;restorative justice officer;victim service officer;victim assistance social worker;victime and witness support officer,,,"Victim support officers provide assistance and counselling to people who were victim of or have witnessed crimes such as sexual assault, domestic abuse or anti-social behaviour. They develop solutions according to the different needs and feelings of persons."
http://data.europa.eu/esco/occupation/934c3572-37f4-4cdd-a4a4-017f5f7809e4,2412,investment fund management assistant,investment fund clerk;investment fund office clerk;investment fund specialist;investment fund assistant,,Includes people working with fund managers to assist them in various tasks including monitoring the financial markets.,Investment fund management assistants provide clients with financial planning advice on financial products and serve as the main contact point for new and old clients. They assist and perform preparatory work in the creation and administration of funds and help with the implementation of fund management decisions made by the portfolio or fund manager.
http://data.europa.eu/esco/occupation/95d0a616-a4a9-4f56-a8fb-4de43cdb4c82,2635,family social worker,family services social worker;family support worker,,,"Family social workers provide advice to families about the range of social services available to solve their problems or challenging life situations such as addictions, mental illnesses, medical or financial struggles. They help their users to access these social services and monitor their appropriate usage."
http://data.europa.eu/esco/occupation/96e20037-0a25-4bf6-a25e-808d1605d890,2513,user interface designer,UI designer;accessibility designer;user interface designers,,,"User interface designers are in charge of designing user interfaces for applications and systems. They perform layout, graphics and dialogues design activities as well as adaptation activities."
